#      time    totEnergy    potEnergy   kinEneryFl  kinEnergyWa    tempFluid     tempWall
  710.00000   0.4155E+04  -0.2022E+04   0.3478E+04   0.2699E+04   0.1557E+01   0.1500E+01
  715.00000   0.4053E+04  -0.2013E+04   0.3367E+04   0.2699E+04   0.1507E+01   0.1500E+01
  720.00000   0.4123E+04  -0.1935E+04   0.3359E+04   0.2699E+04   0.1504E+01   0.1500E+01
  725.00000   0.4137E+04  -0.1961E+04   0.3398E+04   0.2699E+04   0.1521E+01   0.1500E+01
  730.00000   0.4145E+04  -0.1936E+04   0.3383E+04   0.2699E+04   0.1514E+01   0.1500E+01
  735.00000   0.4098E+04  -0.1912E+04   0.3310E+04   0.2699E+04   0.1482E+01   0.1500E+01
  740.00000   0.4160E+04  -0.1853E+04   0.3314E+04   0.2699E+04   0.1484E+01   0.1500E+01
  745.00000   0.3974E+04  -0.2037E+04   0.3312E+04   0.2699E+04   0.1483E+01   0.1500E+01
  750.00000   0.4081E+04  -0.1990E+04   0.3372E+04   0.2699E+04   0.1510E+01   0.1500E+01
  755.00000   0.4151E+04  -0.1877E+04   0.3329E+04   0.2699E+04   0.1490E+01   0.1500E+01
  760.00000   0.4056E+04  -0.1940E+04   0.3297E+04   0.2699E+04   0.1476E+01   0.1500E+01
  765.00000   0.4063E+04  -0.1973E+04   0.3337E+04   0.2699E+04   0.1494E+01   0.1500E+01
  770.00000   0.4067E+04  -0.2042E+04   0.3410E+04   0.2699E+04   0.1527E+01   0.1500E+01
  775.00000   0.4123E+04  -0.1948E+04   0.3372E+04   0.2699E+04   0.1510E+01   0.1500E+01
  780.00000   0.4174E+04  -0.1896E+04   0.3370E+04   0.2699E+04   0.1509E+01   0.1500E+01
  785.00000   0.4130E+04  -0.1967E+04   0.3397E+04   0.2699E+04   0.1521E+01   0.1500E+01
  790.00000   0.4037E+04  -0.1971E+04   0.3309E+04   0.2699E+04   0.1481E+01   0.1500E+01
  795.00000   0.4091E+04  -0.2004E+04   0.3396E+04   0.2699E+04   0.1521E+01   0.1500E+01
  800.00000   0.4059E+04  -0.1993E+04   0.3353E+04   0.2699E+04   0.1501E+01   0.1500E+01
  805.00000   0.4154E+04  -0.1920E+04   0.3374E+04   0.2699E+04   0.1511E+01   0.1500E+01
  810.00000   0.3981E+04  -0.2035E+04   0.3317E+04   0.2699E+04   0.1485E+01   0.1500E+01
  815.00000   0.4029E+04  -0.1985E+04   0.3315E+04   0.2699E+04   0.1484E+01   0.1500E+01
  820.00000   0.4083E+04  -0.1850E+04   0.3234E+04   0.2699E+04   0.1448E+01   0.1500E+01
  825.00000   0.4117E+04  -0.1898E+04   0.3316E+04   0.2699E+04   0.1485E+01   0.1500E+01
  830.00000   0.4037E+04  -0.1995E+04   0.3332E+04   0.2699E+04   0.1492E+01   0.1500E+01
  835.00000   0.4065E+04  -0.1977E+04   0.3342E+04   0.2699E+04   0.1496E+01   0.1500E+01
  840.00000   0.3999E+04  -0.2048E+04   0.3347E+04   0.2699E+04   0.1499E+01   0.1500E+01
  845.00000   0.4029E+04  -0.2087E+04   0.3417E+04   0.2699E+04   0.1530E+01   0.1500E+01
  850.00000   0.4041E+04  -0.1944E+04   0.3286E+04   0.2699E+04   0.1471E+01   0.1500E+01
  855.00000   0.4044E+04  -0.1959E+04   0.3304E+04   0.2699E+04   0.1479E+01   0.1500E+01
  860.00000   0.4016E+04  -0.1991E+04   0.3308E+04   0.2699E+04   0.1481E+01   0.1500E+01
  865.00000   0.4045E+04  -0.1985E+04   0.3331E+04   0.2699E+04   0.1491E+01   0.1500E+01
  870.00000   0.3937E+04  -0.2050E+04   0.3288E+04   0.2699E+04   0.1472E+01   0.1500E+01
  875.00000   0.4103E+04  -0.1995E+04   0.3399E+04   0.2699E+04   0.1522E+01   0.1500E+01
